humidity_out,statetime
18.0,"2019-10-20 07:00:31"
17.0,"2019-10-20 06:54:31"
18.0,"2019-10-20 06:53:31"
17.0,"2019-10-20 06:53:01"
18.0,"2019-10-20 06:52:31"
17.0,"2019-10-20 06:47:31"
18.0,"2019-10-20 06:47:01"
17.0,"2019-10-20 06:42:01"
18.0,"2019-10-20 06:41:31"
17.0,"2019-10-20 06:37:31"
19.0,"2019-10-20 06:36:31"
17.0,"2019-10-20 06:35:31"
18.0,"2019-10-20 06:33:31"
19.0,"2019-10-20 06:33:01"
18.0,"2019-10-20 06:32:31"
19.0,"2019-10-20 06:32:01"
18.0,"2019-10-20 06:31:01"
17.0,"2019-10-20 06:30:01"
18.0,"2019-10-20 06:29:31"
17.0,"2019-10-20 06:29:01"
18.0,"2019-10-20 06:23:31"
17.0,"2019-10-20 06:16:31"
18.0,"2019-10-20 06:07:31"
17.0,"2019-10-20 06:07:01"
18.0,"2019-10-20 06:01:31"
19.0,"2019-10-20 06:01:01"
18.0,"2019-10-20 05:54:31"
19.0,"2019-10-20 05:53:31"
18.0,"2019-10-20 05:48:01"
19.0,"2019-10-20 05:47:01"
20.0,"2019-10-20 05:46:31"
19.0,"2019-10-20 05:46:01"
18.0,"2019-10-20 05:42:01"
19.0,"2019-10-20 05:37:01"
20.0,"2019-10-20 05:36:31"
19.0,"2019-10-20 05:26:31"
20.0,"2019-10-20 05:26:01"
19.0,"2019-10-20 05:23:01"
20.0,"2019-10-20 05:22:31"
19.0,"2019-10-20 05:17:31"
20.0,"2019-10-20 05:17:01"
19.0,"2019-10-20 05:16:31"
