motion_detected,statetime
EA674E,"2019-10-23 09:04:12"
EA674E,"2019-10-23 09:03:53"
EA674E,"2019-10-23 09:03:17"
EA674E,"2019-10-23 09:03:10"
EA674E,"2019-10-23 09:03:02"
EA674E,"2019-10-23 08:58:19"
EA674E,"2019-10-23 08:57:00"
EA674E,"2019-10-23 08:53:11"
EA674E,"2019-10-23 08:51:19"
EA674E,"2019-10-23 08:49:10"
EA674E,"2019-10-23 08:48:08"
EA674E,"2019-10-23 08:47:23"
EA674E,"2019-10-23 08:47:00"
EA674E,"2019-10-23 08:45:55"
EA674E,"2019-10-23 08:44:53"
EA674E,"2019-10-23 08:44:39"
EA674E,"2019-10-23 08:33:36"
EA674E,"2019-10-23 08:32:16"
EA674E,"2019-10-23 08:31:51"
EA674E,"2019-10-23 08:31:29"
EA674E,"2019-10-23 08:31:21"
EA674E,"2019-10-23 08:31:13"
EA674E,"2019-10-23 08:31:03"
EA674E,"2019-10-23 08:30:57"
EA674E,"2019-10-23 08:30:48"
EA674E,"2019-10-23 08:30:39"
EA674E,"2019-10-23 08:30:30"
EA674E,"2019-10-23 08:30:20"
EA674E,"2019-10-23 08:30:12"
EA674E,"2019-10-23 08:30:05"
EA674E,"2019-10-23 08:29:49"
EA674E,"2019-10-23 08:29:43"
EA674E,"2019-10-23 08:29:35"
EA674E,"2019-10-23 08:29:27"
EA674E,"2019-10-23 08:29:20"
EA674E,"2019-10-23 08:29:13"
EA674E,"2019-10-23 08:28:45"
EA674E,"2019-10-23 08:28:35"
EA674E,"2019-10-23 08:27:48"
EA674E,"2019-10-23 08:27:04"
EA674E,"2019-10-23 08:26:57"
EA674E,"2019-10-23 08:26:42"
EA674E,"2019-10-23 08:26:36"
EA674E,"2019-10-23 08:26:29"
EA674E,"2019-10-23 08:26:22"
EA674E,"2019-10-23 08:26:15"
EA674E,"2019-10-23 08:26:08"
EA674E,"2019-10-23 08:25:58"
EA674E,"2019-10-23 08:25:46"
EA674E,"2019-10-23 08:25:34"
EA674E,"2019-10-23 08:25:22"
EA674E,"2019-10-23 08:24:56"
EA674E,"2019-10-23 08:24:42"
EA674E,"2019-10-23 08:24:34"
EA674E,"2019-10-23 08:24:27"
EA674E,"2019-10-23 08:24:21"
EA674E,"2019-10-23 08:24:04"
EA674E,"2019-10-23 08:23:53"
EA674E,"2019-10-23 08:23:44"
EA674E,"2019-10-23 08:23:30"
EA674E,"2019-10-23 08:23:11"
EA674E,"2019-10-23 08:22:51"
EA674E,"2019-10-23 08:22:38"
EA674E,"2019-10-23 08:22:15"
EA674E,"2019-10-23 08:21:22"
EA674E,"2019-10-23 08:20:42"
EA674E,"2019-10-23 08:20:23"
EA674E,"2019-10-23 08:20:10"
EA674E,"2019-10-23 08:20:00"
EA674E,"2019-10-23 08:19:49"
EA674E,"2019-10-23 08:19:42"
EA674E,"2019-10-23 08:19:28"
EA674E,"2019-10-23 08:18:32"
EA674E,"2019-10-23 08:17:50"
EA674E,"2019-10-23 08:16:54"
EA674E,"2019-10-23 08:15:47"
EA674E,"2019-10-23 08:15:38"
EA674E,"2019-10-23 08:14:14"
EA674E,"2019-10-23 08:13:36"
EA674E,"2019-10-23 08:13:09"
EA674E,"2019-10-23 08:12:36"
EA674E,"2019-10-23 08:12:14"
EA674E,"2019-10-23 08:11:58"
EA674E,"2019-10-23 08:11:49"
EA674E,"2019-10-23 08:11:14"
EA674E,"2019-10-23 08:11:09"
EA674E,"2019-10-23 08:10:49"
EA674E,"2019-10-23 08:10:25"
EA674E,"2019-10-23 08:10:10"
EA674E,"2019-10-23 08:09:38"
EA674E,"2019-10-23 08:08:17"
EA674E,"2019-10-23 08:07:27"
EA674E,"2019-10-23 08:07:03"
EA674E,"2019-10-23 08:06:45"
EA674E,"2019-10-23 08:05:49"
EA674E,"2019-10-23 08:05:35"
EA674E,"2019-10-23 08:05:28"
EA674E,"2019-10-23 08:05:06"
EA674E,"2019-10-23 08:04:53"
EA674E,"2019-10-23 08:04:43"
EA674E,"2019-10-23 08:04:30"
EA674E,"2019-10-23 08:04:02"
EA674E,"2019-10-23 08:03:50"
EA674E,"2019-10-23 08:03:14"
EA674E,"2019-10-23 08:02:55"
EA674E,"2019-10-23 08:02:47"
EA674E,"2019-10-23 08:02:38"
EA674E,"2019-10-23 08:01:42"
EA674E,"2019-10-23 08:01:23"
EA674E,"2019-10-23 08:01:06"
EA674E,"2019-10-23 08:00:04"
EA674E,"2019-10-23 07:58:54"
EA674E,"2019-10-23 07:58:17"
EA674E,"2019-10-23 07:58:08"
EA674E,"2019-10-23 07:57:49"
EA674E,"2019-10-23 07:57:17"
EA674E,"2019-10-23 07:57:08"
EA674E,"2019-10-23 07:55:48"
EA674E,"2019-10-23 07:55:28"
EA674E,"2019-10-23 07:54:47"
EA674E,"2019-10-23 07:54:39"
EA674E,"2019-10-23 07:54:13"
EA674E,"2019-10-23 07:54:03"
EA674E,"2019-10-23 07:51:55"
EA674E,"2019-10-23 07:51:14"
EA674E,"2019-10-23 07:50:46"
EA674E,"2019-10-23 07:50:03"
EA674E,"2019-10-23 07:49:54"
EA674E,"2019-10-23 07:49:41"
EA674E,"2019-10-23 07:48:39"
EA674E,"2019-10-23 07:48:17"
EA674E,"2019-10-23 07:47:56"
EA674E,"2019-10-23 07:47:50"
EA674E,"2019-10-23 07:46:25"
EA674E,"2019-10-23 07:46:10"
EA674E,"2019-10-23 07:45:41"
EA674E,"2019-10-23 07:45:13"
EA674E,"2019-10-23 07:44:53"
EA674E,"2019-10-23 07:44:27"
EA674E,"2019-10-23 07:44:15"
EA674E,"2019-10-23 07:43:31"
EA674E,"2019-10-23 07:43:08"
EA674E,"2019-10-23 07:42:53"
EA674E,"2019-10-23 07:42:37"
EA674E,"2019-10-23 07:41:58"
EA674E,"2019-10-23 07:41:00"
EA674E,"2019-10-23 07:40:28"
EA674E,"2019-10-23 07:40:03"
EA674E,"2019-10-23 07:39:56"
EA674E,"2019-10-23 07:39:25"
EA674E,"2019-10-23 07:39:15"
EA674E,"2019-10-23 07:39:06"
EA674E,"2019-10-23 07:38:59"
EA674E,"2019-10-23 07:38:52"
EA674E,"2019-10-23 07:38:45"
EA674E,"2019-10-23 07:38:38"
EA674E,"2019-10-23 07:37:42"
EA674E,"2019-10-23 07:37:36"
EA674E,"2019-10-23 07:36:45"
EA674E,"2019-10-23 07:36:02"
EA674E,"2019-10-23 07:35:33"
EA674E,"2019-10-23 07:35:18"
EA674E,"2019-10-23 07:35:05"
EA674E,"2019-10-23 07:34:42"
EA674E,"2019-10-23 07:34:34"
EA674E,"2019-10-23 07:33:43"
EA674E,"2019-10-23 07:33:36"
EA674E,"2019-10-23 07:33:25"
EA674E,"2019-10-23 07:32:30"
EA674E,"2019-10-23 07:31:49"
EA674E,"2019-10-23 07:31:37"
EA674E,"2019-10-23 07:31:32"
EA674E,"2019-10-23 07:31:04"
EA674E,"2019-10-23 07:30:57"
EA674E,"2019-10-23 07:30:31"
EA674E,"2019-10-23 07:30:20"
EA674E,"2019-10-23 07:30:12"
EA674E,"2019-10-23 07:30:03"
EA674E,"2019-10-23 07:29:53"
EA674E,"2019-10-23 07:29:18"
EA674E,"2019-10-23 07:28:33"
EA674E,"2019-10-23 07:28:19"
EA674E,"2019-10-23 07:28:12"
EA674E,"2019-10-23 07:27:36"
EA674E,"2019-10-23 07:27:16"
EA674E,"2019-10-23 07:26:58"
EA674E,"2019-10-23 07:26:18"
EA674E,"2019-10-23 07:25:58"
EA674E,"2019-10-23 07:25:47"
EA674E,"2019-10-23 07:25:09"
EA674E,"2019-10-23 07:25:01"
EA674E,"2019-10-23 07:24:49"
EA674E,"2019-10-23 07:24:39"
EA674E,"2019-10-23 07:24:29"
EA674E,"2019-10-23 07:23:16"
EA674E,"2019-10-23 07:22:58"
EA674E,"2019-10-23 07:22:44"
EA674E,"2019-10-23 07:22:36"
EA674E,"2019-10-23 07:21:13"
EA674E,"2019-10-23 07:21:06"
EA674E,"2019-10-23 07:20:08"
EA674E,"2019-10-23 07:19:34"
EA674E,"2019-10-23 07:19:24"
EA674E,"2019-10-23 07:19:01"
EA674E,"2019-10-23 07:18:53"
EA674E,"2019-10-23 07:18:24"
EA674E,"2019-10-23 07:17:53"
EA674E,"2019-10-23 07:17:24"
EA674E,"2019-10-23 07:16:08"
EA674E,"2019-10-23 07:16:03"
EA674E,"2019-10-23 07:15:42"
EA674E,"2019-10-23 07:15:32"
EA674E,"2019-10-23 07:15:26"
EA674E,"2019-10-23 07:15:19"
EA674E,"2019-10-23 07:15:11"
EA674E,"2019-10-23 07:15:03"
EA674E,"2019-10-23 07:14:53"
EA674E,"2019-10-23 07:14:08"
EA674E,"2019-10-23 07:13:41"
EA674E,"2019-10-23 07:13:27"
EA674E,"2019-10-23 07:13:10"
EA674E,"2019-10-23 07:12:28"
EA674E,"2019-10-23 07:12:20"
EA674E,"2019-10-23 07:12:11"
EA674E,"2019-10-23 07:11:55"
EA674E,"2019-10-23 07:09:46"
EA674E,"2019-10-23 07:06:40"
EA674E,"2019-10-23 07:06:29"
EA674E,"2019-10-23 07:06:20"
EA674E,"2019-10-23 07:05:56"
EA674E,"2019-10-23 07:05:22"
EA674E,"2019-10-23 07:04:56"
EA674E,"2019-10-23 07:04:42"
EA674E,"2019-10-23 07:04:36"
EA674E,"2019-10-23 07:04:17"
EA674E,"2019-10-23 07:04:00"
EA674E,"2019-10-23 07:03:46"
EA674E,"2019-10-23 07:03:39"
EA674E,"2019-10-23 07:03:31"
EA674E,"2019-10-23 07:03:24"
EA674E,"2019-10-23 07:03:11"
EA674E,"2019-10-23 07:03:01"
EA674E,"2019-10-23 07:02:52"
EA674E,"2019-10-23 07:02:45"
EA674E,"2019-10-23 07:02:38"
EA674E,"2019-10-23 07:02:25"
EA674E,"2019-10-23 07:02:19"
EA674E,"2019-10-23 07:02:11"
EA674E,"2019-10-23 07:02:04"
EA674E,"2019-10-23 07:01:56"
EA674E,"2019-10-23 07:01:48"
EA674E,"2019-10-23 07:01:42"
EA674E,"2019-10-23 07:01:35"
EA674E,"2019-10-23 07:01:27"
EA674E,"2019-10-23 07:01:19"
EA674E,"2019-10-23 07:01:12"
EA674E,"2019-10-23 07:01:05"
EA674E,"2019-10-23 07:00:35"
EA674E,"2019-10-23 06:59:59"
EA674E,"2019-10-23 06:59:51"
EA674E,"2019-10-23 06:59:43"
EA674E,"2019-10-23 06:59:22"
EA674E,"2019-10-23 06:58:50"
EA674E,"2019-10-23 06:57:47"
EA674E,"2019-10-23 06:57:32"
EA674E,"2019-10-23 06:57:25"
EA674E,"2019-10-23 06:57:18"
EA674E,"2019-10-23 06:57:09"
EA674E,"2019-10-23 06:56:48"
EA674E,"2019-10-23 06:56:28"
EA674E,"2019-10-23 06:56:05"
EA674E,"2019-10-23 06:54:56"
EA674E,"2019-10-23 06:54:47"
EA674E,"2019-10-23 06:54:11"
EA674E,"2019-10-23 06:54:04"
EA674E,"2019-10-23 06:53:42"
EA674E,"2019-10-23 06:53:32"
EA674E,"2019-10-23 06:51:59"
EA674E,"2019-10-23 06:51:47"
EA674E,"2019-10-23 06:49:58"
EA674E,"2019-10-23 06:49:46"
EA674E,"2019-10-23 06:49:32"
EA674E,"2019-10-23 06:49:25"
EA674E,"2019-10-23 06:49:17"
EA674E,"2019-10-23 06:49:11"
EA674E,"2019-10-23 06:48:41"
EA674E,"2019-10-23 06:48:18"
EA674E,"2019-10-23 06:48:11"
EA674E,"2019-10-23 06:48:03"
EA674E,"2019-10-23 06:47:37"
EA674E,"2019-10-23 06:47:24"
EA674E,"2019-10-23 06:47:16"
EA674E,"2019-10-23 06:46:33"
EA674E,"2019-10-23 06:45:47"
EA674E,"2019-10-23 06:45:05"
EA674E,"2019-10-23 06:44:14"
EA674E,"2019-10-23 06:43:58"
EA674E,"2019-10-23 06:41:39"
EA674E,"2019-10-23 06:41:30"
EA674E,"2019-10-23 06:41:23"
EA674E,"2019-10-23 06:41:05"
EA674E,"2019-10-23 06:40:44"
EA674E,"2019-10-23 06:40:34"
EA674E,"2019-10-23 06:40:23"
EA674E,"2019-10-23 06:40:14"
EA674E,"2019-10-23 06:40:08"
EA674E,"2019-10-23 06:40:02"
EA674E,"2019-10-23 06:37:28"
EA674E,"2019-10-23 06:34:10"
