temp_in,statetime
27.8,"2019-10-23 08:48:24"
27.9,"2019-10-23 08:48:14"
27.8,"2019-10-23 08:48:04"
27.9,"2019-10-23 08:42:54"
28.0,"2019-10-23 08:42:44"
27.9,"2019-10-23 08:37:14"
28.0,"2019-10-23 08:37:04"
27.9,"2019-10-23 08:36:34"
28.0,"2019-10-23 08:34:34"
27.9,"2019-10-23 08:33:14"
28.0,"2019-10-23 08:30:14"
27.9,"2019-10-23 08:28:24"
28.0,"2019-10-23 08:26:44"
27.9,"2019-10-23 08:26:04"
28.0,"2019-10-23 08:25:54"
27.9,"2019-10-23 08:25:04"
28.0,"2019-10-23 08:24:54"
27.9,"2019-10-23 08:24:34"
28.0,"2019-10-23 08:24:24"
27.9,"2019-10-23 08:23:04"
28.0,"2019-10-23 08:22:54"
27.9,"2019-10-23 08:19:54"
28.0,"2019-10-23 08:19:24"
27.9,"2019-10-23 08:17:34"
27.8,"2019-10-23 08:17:24"
27.9,"2019-10-23 08:17:14"
27.8,"2019-10-23 08:16:54"
27.9,"2019-10-23 08:16:34"
27.7,"2019-10-23 08:11:54"
27.8,"2019-10-23 08:11:24"
27.9,"2019-10-23 08:11:14"
27.8,"2019-10-23 08:10:44"
27.9,"2019-10-23 08:10:24"
27.8,"2019-10-23 08:10:14"
27.9,"2019-10-23 08:09:54"
27.8,"2019-10-23 08:09:45"
27.9,"2019-10-23 08:09:34"
27.7,"2019-10-23 08:09:14"
27.8,"2019-10-23 08:08:54"
27.9,"2019-10-23 08:08:44"
27.8,"2019-10-23 08:08:04"
27.9,"2019-10-23 08:07:54"
27.8,"2019-10-23 08:07:14"
27.9,"2019-10-23 08:07:04"
27.8,"2019-10-23 08:06:54"
27.9,"2019-10-23 08:06:44"
27.8,"2019-10-23 08:06:04"
27.9,"2019-10-23 08:05:54"
27.8,"2019-10-23 08:04:34"
27.9,"2019-10-23 08:04:24"
27.8,"2019-10-23 08:04:15"
27.9,"2019-10-23 08:03:54"
27.8,"2019-10-23 08:03:24"
27.9,"2019-10-23 08:03:14"
27.8,"2019-10-23 08:03:04"
27.7,"2019-10-23 08:01:34"
27.8,"2019-10-23 08:01:14"
27.7,"2019-10-23 07:59:54"
27.8,"2019-10-23 07:59:34"
27.9,"2019-10-23 07:59:04"
27.8,"2019-10-23 07:58:24"
27.9,"2019-10-23 07:58:04"
27.8,"2019-10-23 07:57:44"
27.9,"2019-10-23 07:57:24"
27.8,"2019-10-23 07:57:14"
27.7,"2019-10-23 07:55:34"
27.9,"2019-10-23 07:55:04"
27.8,"2019-10-23 07:54:54"
27.9,"2019-10-23 07:53:54"
27.8,"2019-10-23 07:53:44"
27.9,"2019-10-23 07:53:34"
27.8,"2019-10-23 07:53:24"
27.9,"2019-10-23 07:53:14"
27.8,"2019-10-23 07:52:54"
27.9,"2019-10-23 07:52:24"
27.8,"2019-10-23 07:52:14"
27.9,"2019-10-23 07:45:54"
27.8,"2019-10-23 07:45:34"
27.9,"2019-10-23 07:45:14"
27.8,"2019-10-23 07:44:34"
27.9,"2019-10-23 07:44:24"
27.8,"2019-10-23 07:44:14"
27.9,"2019-10-23 07:44:04"
27.8,"2019-10-23 07:43:34"
