temp_out,statetime
23.0,"2019-10-22 19:01:05"
24.0,"2019-10-22 18:54:35"
23.0,"2019-10-22 18:53:35"
24.0,"2019-10-22 18:53:05"
23.0,"2019-10-22 18:52:35"
24.0,"2019-10-22 18:50:06"
23.0,"2019-10-22 18:49:05"
24.0,"2019-10-22 18:48:35"
23.0,"2019-10-22 18:30:05"
24.0,"2019-10-22 18:29:35"
23.0,"2019-10-22 18:28:05"
24.0,"2019-10-22 17:09:35"
25.0,"2019-10-22 17:08:35"
24.0,"2019-10-22 17:08:05"
25.0,"2019-10-22 16:27:34"
26.0,"2019-10-22 16:27:04"
25.0,"2019-10-22 16:26:04"
26.0,"2019-10-22 16:23:34"
25.0,"2019-10-22 16:22:34"
26.0,"2019-10-22 16:19:04"
25.0,"2019-10-22 16:18:04"
26.0,"2019-10-22 16:16:04"
25.0,"2019-10-22 16:08:34"
26.0,"2019-10-22 15:48:04"
27.0,"2019-10-22 15:34:04"
28.0,"2019-10-22 15:28:04"
29.0,"2019-10-22 15:25:04"
30.0,"2019-10-22 15:22:34"
29.0,"2019-10-22 15:22:04"
30.0,"2019-10-22 15:19:04"
31.0,"2019-10-22 15:15:34"
32.0,"2019-10-22 15:09:04"
33.0,"2019-10-22 15:06:04"
32.0,"2019-10-22 15:04:04"
33.0,"2019-10-22 15:00:04"
34.0,"2019-10-22 14:59:34"
33.0,"2019-10-22 14:58:34"
34.0,"2019-10-22 14:58:04"
35.0,"2019-10-22 14:56:34"
36.0,"2019-10-22 14:52:04"
37.0,"2019-10-22 14:47:34"
38.0,"2019-10-22 14:41:34"
39.0,"2019-10-22 14:31:04"
40.0,"2019-10-22 14:30:04"
39.0,"2019-10-22 14:27:04"
40.0,"2019-10-22 14:26:34"
41.0,"2019-10-22 14:26:04"
40.0,"2019-10-22 14:25:34"
39.0,"2019-10-22 14:25:04"
41.0,"2019-10-22 14:24:34"
40.0,"2019-10-22 14:24:04"
41.0,"2019-10-22 14:22:34"
42.0,"2019-10-22 14:21:04"
41.0,"2019-10-22 14:14:04"
42.0,"2019-10-22 14:09:04"
41.0,"2019-10-22 14:04:04"
42.0,"2019-10-22 13:59:34"
43.0,"2019-10-22 13:55:34"
42.0,"2019-10-22 13:54:04"
43.0,"2019-10-22 13:52:34"
42.0,"2019-10-22 13:50:34"
43.0,"2019-10-22 13:49:04"
42.0,"2019-10-22 13:47:34"
43.0,"2019-10-22 13:45:04"
42.0,"2019-10-22 13:41:04"
43.0,"2019-10-22 13:40:04"
42.0,"2019-10-22 13:37:34"
43.0,"2019-10-22 13:35:34"
42.0,"2019-10-22 13:35:04"
43.0,"2019-10-22 13:34:04"
45.0,"2019-10-22 13:33:34"
44.0,"2019-10-22 13:32:34"
45.0,"2019-10-22 13:29:04"
46.0,"2019-10-22 13:28:04"
45.0,"2019-10-22 13:25:04"
44.0,"2019-10-22 13:24:34"
45.0,"2019-10-22 13:24:04"
44.0,"2019-10-22 13:23:34"
45.0,"2019-10-22 13:21:34"
43.0,"2019-10-22 13:19:34"
42.0,"2019-10-22 13:18:04"
41.0,"2019-10-22 13:17:04"
42.0,"2019-10-22 13:16:04"
41.0,"2019-10-22 13:14:34"
42.0,"2019-10-22 13:12:34"
41.0,"2019-10-22 13:11:34"
39.0,"2019-10-22 13:10:34"
38.0,"2019-10-22 13:09:04"
37.0,"2019-10-22 13:08:34"
36.0,"2019-10-22 13:07:34"
35.0,"2019-10-22 13:07:04"
34.0,"2019-10-22 13:06:34"
33.0,"2019-10-22 12:51:34"
32.0,"2019-10-22 12:51:04"
33.0,"2019-10-22 12:49:34"
32.0,"2019-10-22 12:47:34"
33.0,"2019-10-22 12:21:04"
32.0,"2019-10-22 12:20:34"
33.0,"2019-10-22 12:19:34"
32.0,"2019-10-22 12:18:34"
33.0,"2019-10-22 12:08:34"
32.0,"2019-10-22 11:58:04"
31.0,"2019-10-22 11:55:34"
32.0,"2019-10-22 11:54:04"
31.0,"2019-10-22 11:50:34"
32.0,"2019-10-22 11:50:04"
31.0,"2019-10-22 11:44:34"
30.0,"2019-10-22 11:22:04"
31.0,"2019-10-22 11:21:34"
30.0,"2019-10-22 11:08:34"
