humidity_in,statetime
39.0,"2019-10-23 15:41:25"
38.0,"2019-10-23 15:34:45"
37.0,"2019-10-23 15:34:35"
38.0,"2019-10-23 15:30:25"
37.0,"2019-10-23 15:30:15"
38.0,"2019-10-23 15:12:25"
39.0,"2019-10-23 15:10:45"
38.0,"2019-10-23 15:10:35"
39.0,"2019-10-23 15:04:45"
40.0,"2019-10-23 15:04:35"
39.0,"2019-10-23 15:03:45"
40.0,"2019-10-23 14:54:25"
41.0,"2019-10-23 14:50:45"
42.0,"2019-10-23 14:46:55"
43.0,"2019-10-23 14:42:55"
44.0,"2019-10-23 14:41:05"
45.0,"2019-10-23 14:40:55"
44.0,"2019-10-23 14:40:35"
45.0,"2019-10-23 14:38:35"
46.0,"2019-10-23 14:36:35"
47.0,"2019-10-23 14:36:05"
46.0,"2019-10-23 14:35:15"
47.0,"2019-10-23 14:33:55"
48.0,"2019-10-23 14:33:15"
49.0,"2019-10-23 14:31:35"
50.0,"2019-10-23 14:31:15"
51.0,"2019-10-23 14:30:45"
52.0,"2019-10-23 14:29:25"
51.0,"2019-10-23 14:29:15"
50.0,"2019-10-23 14:29:05"
49.0,"2019-10-23 14:28:05"
50.0,"2019-10-23 14:27:05"
51.0,"2019-10-23 14:26:35"
52.0,"2019-10-23 14:25:35"
51.0,"2019-10-23 14:25:25"
50.0,"2019-10-23 14:25:15"
49.0,"2019-10-23 14:25:05"
48.0,"2019-10-23 14:24:55"
49.0,"2019-10-23 14:24:45"
50.0,"2019-10-23 14:24:35"
49.0,"2019-10-23 14:24:25"
50.0,"2019-10-23 14:23:45"
51.0,"2019-10-23 14:23:15"
52.0,"2019-10-23 14:22:55"
51.0,"2019-10-23 14:22:45"
50.0,"2019-10-23 14:22:35"
49.0,"2019-10-23 14:21:05"
50.0,"2019-10-23 14:20:25"
51.0,"2019-10-23 14:19:55"
52.0,"2019-10-23 14:19:45"
51.0,"2019-10-23 14:19:35"
52.0,"2019-10-23 14:18:55"
51.0,"2019-10-23 14:18:45"
50.0,"2019-10-23 14:18:35"
48.0,"2019-10-23 14:18:15"
49.0,"2019-10-23 14:18:05"
50.0,"2019-10-23 14:17:25"
51.0,"2019-10-23 14:16:56"
52.0,"2019-10-23 14:16:05"
51.0,"2019-10-23 14:15:55"
49.0,"2019-10-23 14:15:35"
50.0,"2019-10-23 14:14:35"
51.0,"2019-10-23 14:13:45"
52.0,"2019-10-23 14:13:35"
53.0,"2019-10-23 14:12:15"
52.0,"2019-10-23 14:12:05"
51.0,"2019-10-23 14:11:55"
50.0,"2019-10-23 14:11:45"
49.0,"2019-10-23 14:11:35"
50.0,"2019-10-23 14:11:15"
51.0,"2019-10-23 14:10:35"
52.0,"2019-10-23 14:10:15"
53.0,"2019-10-23 14:09:36"
52.0,"2019-10-23 14:09:25"
51.0,"2019-10-23 14:09:15"
50.0,"2019-10-23 14:08:15"
51.0,"2019-10-23 14:07:35"
52.0,"2019-10-23 14:07:05"
53.0,"2019-10-23 14:05:35"
52.0,"2019-10-23 14:05:25"
51.0,"2019-10-23 14:05:15"
49.0,"2019-10-23 14:04:55"
50.0,"2019-10-23 14:04:45"
51.0,"2019-10-23 14:04:05"
52.0,"2019-10-23 14:03:45"
53.0,"2019-10-23 14:03:25"
54.0,"2019-10-23 14:03:15"
53.0,"2019-10-23 14:02:55"
52.0,"2019-10-23 14:02:35"
50.0,"2019-10-23 14:01:55"
51.0,"2019-10-23 14:01:35"
52.0,"2019-10-23 14:00:55"
53.0,"2019-10-23 14:00:05"
52.0,"2019-10-23 13:59:45"
51.0,"2019-10-23 13:59:25"
49.0,"2019-10-23 13:59:15"
48.0,"2019-10-23 13:58:35"
49.0,"2019-10-23 13:58:15"
50.0,"2019-10-23 13:57:35"
51.0,"2019-10-23 13:57:05"
52.0,"2019-10-23 13:56:35"
51.0,"2019-10-23 13:56:15"
50.0,"2019-10-23 13:56:05"
51.0,"2019-10-23 13:55:45"
50.0,"2019-10-23 13:55:35"
51.0,"2019-10-23 13:54:45"
52.0,"2019-10-23 13:54:35"
54.0,"2019-10-23 13:53:45"
53.0,"2019-10-23 13:53:45"
55.0,"2019-10-23 13:52:35"
54.0,"2019-10-23 13:52:15"
53.0,"2019-10-23 13:52:05"
52.0,"2019-10-23 13:51:55"
51.0,"2019-10-23 13:51:35"
52.0,"2019-10-23 13:51:05"
53.0,"2019-10-23 13:50:35"
54.0,"2019-10-23 13:50:15"
55.0,"2019-10-23 13:49:15"
54.0,"2019-10-23 13:48:45"
52.0,"2019-10-23 13:48:35"
51.0,"2019-10-23 13:48:15"
52.0,"2019-10-23 13:48:05"
51.0,"2019-10-23 13:47:55"
52.0,"2019-10-23 13:47:25"
53.0,"2019-10-23 13:46:45"
54.0,"2019-10-23 13:46:25"
55.0,"2019-10-23 13:46:15"
56.0,"2019-10-23 13:45:55"
55.0,"2019-10-23 13:44:25"
54.0,"2019-10-23 13:44:15"
53.0,"2019-10-23 13:44:05"
52.0,"2019-10-23 13:43:55"
51.0,"2019-10-23 13:43:25"
52.0,"2019-10-23 13:43:05"
53.0,"2019-10-23 13:42:35"
54.0,"2019-10-23 13:42:25"
55.0,"2019-10-23 13:41:25"
54.0,"2019-10-23 13:41:05"
53.0,"2019-10-23 13:40:45"
52.0,"2019-10-23 13:40:35"
51.0,"2019-10-23 13:40:15"
52.0,"2019-10-23 13:39:35"
53.0,"2019-10-23 13:39:16"
54.0,"2019-10-23 13:39:05"
55.0,"2019-10-23 13:38:55"
56.0,"2019-10-23 13:38:45"
55.0,"2019-10-23 13:38:05"
54.0,"2019-10-23 13:37:45"
53.0,"2019-10-23 13:37:05"
52.0,"2019-10-23 13:36:45"
51.0,"2019-10-23 13:36:25"
50.0,"2019-10-23 13:35:55"
49.0,"2019-10-23 13:35:45"
48.0,"2019-10-23 13:35:25"
47.0,"2019-10-23 13:35:15"
45.0,"2019-10-23 13:34:36"
46.0,"2019-10-23 13:34:25"
47.0,"2019-10-23 13:34:05"
46.0,"2019-10-23 13:33:55"
45.0,"2019-10-23 13:33:45"
43.0,"2019-10-23 13:32:35"
42.0,"2019-10-23 13:30:24"
41.0,"2019-10-23 13:30:04"
42.0,"2019-10-23 13:28:44"
41.0,"2019-10-23 13:28:34"
42.0,"2019-10-23 13:26:44"
43.0,"2019-10-23 13:25:34"
44.0,"2019-10-23 13:24:34"
45.0,"2019-10-23 13:23:54"
44.0,"2019-10-23 13:21:54"
43.0,"2019-10-23 13:19:44"
42.0,"2019-10-23 13:19:24"
43.0,"2019-10-23 13:18:54"
42.0,"2019-10-23 13:16:24"
41.0,"2019-10-23 13:13:04"
42.0,"2019-10-23 13:11:44"
43.0,"2019-10-23 13:10:54"
44.0,"2019-10-23 13:10:34"
43.0,"2019-10-23 13:08:54"
44.0,"2019-10-23 13:08:34"
43.0,"2019-10-23 13:08:14"
44.0,"2019-10-23 13:06:54"
43.0,"2019-10-23 13:05:44"
42.0,"2019-10-23 13:04:54"
